why_peer_learning,count
Haven't had the need,1
I don’t like working with groups.,1
I did not know this was available.,1
I did not need it,1
I didnt know there was one...,1
I prefer studying on my own and attended the UA sessions provided by Lavelle.,1
Did not know they were happening,1
"I could not make it, due to time conflic and commute travel.",1
I attended UA workshops instead,1
Office hours was really helpful,1
I attended Step ups and workshops.,1
"I did not feel the need to attend the peer learning, and I also found myself doing fairly well while studying on my own.",1
I went to other review sessions more focused on what I needed to work on most.,1
Didn't know about this opportunity,1
"I didn't have time to attend it. However, my friends and I did our own chemistry peer learning before the exams to clear up any questions.",1
I don't know what is that. I attended discussion sections and review exams for midterms.,1
No. no one said anything regarding this sessions.,1
didn’t know about it,1
I wanted extra practice for the midterm.,1
I just don’t feel the need to,1
i just don’t need to,1
I didn't feel a need to attend because I already had an established study group with people that I met in my lecture.,1
I didn't know this resource,1
What even is that?,1
went to step up sessions instead,1
I did not have time,1
I did not need to,1
Found self-studying more effective.,1
I didnt have time.,1
it was helpful!,1
I was not entirely aware of it.,1
I did not attend because I had other commitments like studying or doing homework for other classes.,1
I am not aware of what the Chemistry peer learning is,1
Didn't need the extra help,1
"was not aware of it, and could not attend as well",1
I have never felt the need.,1
I was not very aware of the peer learning,1
"I attended the step-up and workshops organized by Dr. Lavelle every week, which has helped me with my learning.",1
I attended workshop and step-up sessions that Dr. Lavelle had organized.,1
Did not know we were able to attend.,1
"I really didn't know that chemistry peer learning was being offered, I mostly stuck to the additional help sessions that my professor had arranged for us.",1
I didn't feel the need to go.,1
I did not find time in my schedule.,1
I did not attend because I did not feel the need to receive external help with chemistry as I believed I could do it myself.,1
"This quarter, I really struggled with my mental health, burnout from my summer job, and balancing living in an apartment for the first time; I found myself struggling to balance school, apartment life, and relaxing. Also I felt that I understood the course material enough where I didn't have to go.",1
I didn't attend because I have no idea what that is.,1
I'm having a hard time working through my schedule.,1
I thought it would be best to make the most of the opportunities given,1
"I was unaware of the times and location. of this program, I may have missed the details if they were given in class or present on BruinLearn.",1
It conflicted with a class I had.,1
I was unaware of peer learning in room MS3974. I do attend the step-up/workshop sessions Dr. Lavelle creates for his students.,1
I didn't know about the option to attend.,1
Because I work better when explaining things with people.,1
It was hard to find. Only mentioned by professor once,1
Why spend my time there at a possibly unrelated session instead of study at home on my own?,1
I did not know about the peer learning,1
I didn’t know this existed,1
Was not aware of a chemistry peer learning group,1
I got an email saying I was not eligible to attend peer learning and did not qualify for it.,1
Did not feel the need to,1
I didn't want to go alone.,1
I did the practice problems but didn't attend in person.,1
Never found it necessary to attend,1
I didnt know that was available,1
"Was not aware of it, and am not sure if I’m eligible to attend",1
Time conflict.,1
I did not know what that was,1
"I did not feel the need for it, but if I was ever struggling, then I would have attended.",1
I at no point in the course was struggling.,1
I commute so finding sections that were available while I was on campus was difficult.  TA officer hours were more accessible,1
I didn't even know they were a thing.,1
The sessions were held at times where I had other classes,1
I did not know it was an available resource,1
I would not attend the chemistry peer learning because i would attend office hours every week with the courses TA’s.,1
I did not hear about it.,1
I didn't know that it was happening,1
I attended chemistry peer learning at Campbell Hall to receive additional support on the material covered in the course.,1
I did not attend peer learning in the specific room but did attend other peer learnings at other locations,1
I didn't make time in my schedule to go,1
did not feel the need,1
I was not aware of the peer learning in room MS3974,1
I had no idea that was a thing.,1
I went to office hours instead.,1
I was not aware of the Chemistry peer learning in the MS building.,1
Didn't feel like I needed it,1
I attended to see if they were helpful.,1
"attended other sessions, just not ms3974",1
I did not feel the need to.,1
